load (lbf),span (in),inertia (in4),deflection (in)
132.284555,271,679.52825,0.511376
134.857025,408,829.484149,2.019305
124.014509,388,775.895666,1.603663
102.664597,439,765.635768,2.288577
124.152208,404,793.738265,1.945175
103.47526,377,952.861402,1.027644
133.600011,281,943.991939,0.420418
143.256551,284,975.902844,0.436773
94.996814,386,937.268164,1.047104
94.537244,300,596.298813,0.577086
124.630467,479,623.1701,5.077607
141.555647,376,816.839305,1.637496
127.699008,255,648.956186,0.38363
129.258989,303,953.697902,0.516869
100.313816,442,761.581471,2.305917
129.208034,376,529.645592,2.336575
121.615983,395,526.345478,2.682679
132.541641,364,776.716459,1.403106
149.017428,473,689.584106,5.072179
145.194032,259,955.009394,0.328519
163.378328,363,618.376822,2.154327
147.632525,277,981.838907,0.426797
165.300624,435,949.315051,2.882287
115.042845,394,505.75886,2.471582
90.056861,378,914.018933,0.977928
132.51668,373,535.765502,2.30011
116.959139,401,518.999714,2.634058
126.28563,479,877.493501,3.570799
165.311383,312,821.344342,0.914683
163.931172,255,757.906934,0.435562
129.935904,352,506.233484,1.793198
146.0281,356,558.852824,1.939048
156.216105,292,772.724816,0.697814
145.145913,257,703.360138,0.400815
124.524838,295,681.134685,0.671436
131.863213,276,933.297801,0.370755
164.173405,347,854.245183,1.274919
83.375822,348,612.897303,0.8919
123.750581,245,876.214078,0.227614
117.339319,333,699.227423,0.99828
144.067102,436,636.212501,3.805538
107.537219,289,623.262704,0.574733
91.985442,459,504.36364,3.597456
113.054623,247,846.558118,0.231729
140.71768,362,549.518374,2.125479
133.492732,471,891.200606,3.493917
133.117569,478,647.745643,5.211851
132.559253,244,901.895233,0.234932
149.399673,397,611.578685,2.683046
107.829864,307,893.071972,0.475814
123.098636,472,861.087846,3.167461
145.486862,381,583.408712,2.555117
100.130362,425,993.441523,1.467134
110.470397,318,662.45293,0.779157
87.457413,341,617.478551,0.858717
151.318696,474,697.689343,4.890454
136.223067,453,880.169098,3.090666
92.304998,473,770.136806,2.880244
95.941069,301,851.616835,0.42691
158.302195,272,757.972763,0.542652
153.182788,455,933.861688,3.22122
90.647715,283,566.498438,0.458696
144.611835,452,654.558502,4.297879
97.732309,371,679.36123,1.301082
131.268007,428,590.06533,3.602588
145.269034,363,564.317276,2.065216
152.006208,325,544.11449,1.515504
149.219761,478,945.596048,3.770062
88.067484,248,772.563217,0.196534
135.11727,406,828.28367,1.986772
131.701295,269,675.400409,0.473176
121.573495,287,913.448175,0.425917
92.124393,359,900.502381,0.786526
115.011442,380,990.356682,1.146385
84.460263,303,818.796893,0.397269
139.174443,314,995.114118,0.65312
138.980417,298,977.475266,0.537662
135.579334,428,602.756933,3.656098
140.991831,272,956.240486,0.36788
123.230795,387,522.818327,2.400164
166.065778,374,888.019859,1.766878
151.066552,397,617.104481,2.693079
143.552623,322,765.914817,0.948911
140.814852,246,928.27237,0.265398
124.165869,263,896.819088,0.312404
151.115709,451,922.824772,3.096774
129.231072,411,565.411301,2.984563
129.079041,454,610.271886,4.130495
141.021834,396,585.881586,2.871482
139.872809,301,983.445342,0.560431
162.306813,304,553.128704,1.168572
155.201741,354,584.108377,1.943398
154.101419,287,761.280468,0.650533
132.115053,453,618.241315,4.147461
130.823198,358,765.365736,1.312224
136.752721,393,569.714063,2.633519
129.592051,317,968.704202,0.61227
160.919799,329,825.002411,1.040458
148.453283,299,756.492788,0.740112
162.115313,479,985.201098,4.011339
148.153191,387,847.086116,1.867405
150.564474,240,702.149595,0.334332
127.825102,476,629.332016,5.041073
97.615737,471,783.295015,2.957299
142.795235,278,717.671563,0.556761
84.858475,425,947.639671,1.35272
136.695802,262,682.906331,0.438747
151.785586,286,503.084841,0.930624
109.343468,255,843.656037,0.267576
114.949637,266,622.364434,0.42192
95.671612,416,720.214077,1.811951
83.977066,264,777.412164,0.250872
117.979833,442,813.89632,2.578417
139.37694,394,828.798507,1.821429
158.903084,378,869.952904,1.790219
85.449569,298,816.757207,0.377131
113.761758,441,800.583621,2.495126
87.130316,446,726.286133,2.262383
140.233106,347,782.542142,1.162772
146.818965,458,667.240558,4.524063
99.371295,433,998.905975,1.560342
106.2605,350,933.842604,0.799726
91.531261,322,859.714461,0.527406
114.861342,427,789.117875,2.24533
139.477124,342,775.154966,1.157544
143.166221,395,591.292032,2.864415
134.138742,480,652.167707,5.309428
126.676007,386,782.261066,1.595242
150.854912,262,724.990947,0.439081
114.374209,390,749.08283,1.714129
92.915725,478,526.409916,4.321019
144.727285,450,652.472856,4.238603
153.792718,369,846.264145,1.530619
145.543185,273,971.039388,0.400486
141.744271,240,675.732211,0.324484
98.834637,374,685.870264,1.282104
106.574783,401,987.772465,1.248984
129.27022,331,982.619802,0.753318
164.686284,448,710.600806,4.210551
122.640728,318,949.179417,0.595081
97.75324,429,739.918441,2.148858
144.112153,365,562.32646,2.205584
103.068907,439,766.615849,2.295444
109.405531,370,963.517153,1.001488
127.53453,365,763.231265,1.383111
161.663079,279,775.716539,0.601654
120.555241,392,770.212057,1.803528
98.057812,373,932.48196,0.948553
139.878636,316,748.28841,0.874375
128.706962,300,948.608528,0.496804
106.324296,432,769.130442,2.330113
125.795068,350,742.418069,1.182077
104.020026,461,542.460269,3.893197
84.967651,321,589.25223,0.683411
146.077351,286,986.295123,0.454485
125.226024,276,913.243512,0.357609
142.366547,399,842.435134,1.931367
96.297094,289,840.214141,0.368739
124.80528,368,508.140049,2.043792
166.295681,362,626.379532,2.146432
117.3864,426,795.471964,2.259971
93.353129,356,900.645265,0.771167
84.264007,264,778.093894,0.239336
161.635925,345,594.573207,1.712959
105.367245,269,595.954518,0.440332
117.610994,446,567.741221,3.915905
96.851015,375,931.148019,0.957686
139.103315,409,842.856932,2.185736
164.299336,394,653.066296,2.858468
143.40178,244,684.082641,0.347068
145.541452,377,828.984742,1.60014
151.158205,350,817.963819,1.318591
89.110699,478,515.685327,4.216174
100.925712,269,833.362724,0.307832
132.399058,269,927.322117,0.35536
121.925809,308,936.579515,0.526717
86.524926,391,667.226755,1.365265
148.792397,432,896.197309,2.766712
153.993478,301,525.886609,1.168065
144.480711,303,999.438427,0.587394
105.944313,243,821.079974,0.218773
119.414263,347,719.685747,1.111555
153.464037,311,533.972656,1.244631
105.481283,442,776.382418,2.510093
91.383246,438,979.952387,1.52073
133.787324,367,783.991847,1.380125
124.040591,468,610.012587,4.470057
152.1584,289,757.011915,0.630507
166.132501,467,984.744265,3.724577
99.85158,444,762.488699,2.333896
123.134757,455,843.43513,2.788191
93.611023,352,647.558323,1.05364
87.798274,443,974.479753,1.613853
165.057269,325,584.221274,1.476719
88.587662,372,653.707454,1.229174
87.733444,313,839.273176,0.460306
143.181479,341,784.232566,1.164449
108.099649,334,672.042641,0.914185
87.371619,341,867.562635,0.658049
93.256869,399,695.490044,1.620687
148.145398,384,844.56852,1.726336
148.118592,464,927.355125,3.379509
100.425143,459,779.415664,2.761115
163.143523,312,564.205769,1.21596
149.832176,403,619.623786,2.823266
121.832758,322,951.166623,0.619989
120.017703,352,726.732742,1.231706
86.427648,432,709.097545,1.920308
119.23526,292,661.930113,0.601513
107.484875,458,549.715608,3.878671
122.034432,365,746.016757,1.41473
160.240816,447,946.237825,3.114984
108.970282,468,814.327532,2.97569
146.991235,305,508.701622,1.150094
143.684701,359,805.299557,1.40127
164.638803,319,575.786217,1.316851
106.555758,285,866.672608,0.358575
145.449391,303,501.711476,1.122071
153.586013,388,614.62082,2.51145
138.246588,381,811.962671,1.691994
160.23707,458,957.728635,3.395765
111.359282,326,674.136104,0.853938
139.637481,422,858.112668,2.326902
147.78109,429,890.577597,2.555491
103.600356,269,840.647511,0.298947
135.263763,265,681.426419,0.454907
146.693264,387,843.484066,1.763953
90.720096,393,931.464052,1.131814
95.671383,377,679.65527,1.289758
127.998948,436,588.048941,3.605141
145.410998,447,652.346949,4.14864
145.091944,298,995.184114,0.554225
144.754111,331,528.634674,1.589215
144.069942,382,830.396566,1.665565
163.00198,399,654.869906,2.972646
124.492388,259,893.724849,0.295587
102.322453,368,940.270083,0.933121
156.987181,479,969.766887,3.927963
122.315774,278,656.758632,0.537501
136.217154,355,528.785764,1.968441
97.102954,255,557.259104,0.330285
120.946277,277,900.915042,0.353819
116.256473,476,595.081802,4.800373
141.980959,249,935.028656,0.265662
144.483815,320,516.471942,1.348213
129.560607,248,897.197305,0.258457
151.307407,364,833.230792,1.444069
107.473705,378,965.778131,1.01537
104.705901,446,778.921717,2.574125
90.615525,294,577.921237,0.551384
147.844352,268,972.600568,0.359544
164.398754,278,782.52109,0.570044
121.180303,426,557.421821,3.257662
115.791698,440,555.599963,3.541823
99.686466,421,737.761409,1.941523
120.119449,298,670.432416,0.682759
91.814445,282,569.242458,0.456322
119.31072,270,888.838066,0.335209
142.8765,283,723.558258,0.593758
97.901747,379,938.197367,1.003794
141.806161,415,607.682558,3.366369
112.63094,439,795.26869,2.561374
157.422931,295,529.442275,1.096806
157.902979,336,573.881172,1.552753
128.740544,251,897.368659,0.269298
143.609154,307,750.832643,0.759467
98.820038,356,917.603151,0.805244
131.567006,326,983.930966,0.686398
150.655922,386,853.831716,1.868516
102.525647,340,911.574708,0.665856
145.649683,431,635.516134,3.681133
116.235244,286,896.905722,0.407017
106.466951,265,844.952844,0.288496
100.702192,272,585.835056,0.42398
124.476966,366,754.703567,1.37653
122.624126,421,556.813593,3.150441
161.769475,330,579.054302,1.548338
164.323188,413,923.084011,2.506967
86.630608,350,874.105655,0.71885
140.706416,260,943.450206,0.326052
150.623022,380,848.195627,1.679195
122.552893,250,877.705934,0.243823
152.680862,427,652.542335,3.461129
88.389192,323,601.734033,0.753327
146.821262,408,615.448373,3.226696
147.67891,410,869.825859,2.176555
107.244975,351,937.762293,0.81378
112.295746,371,973.034711,1.03167
127.71681,441,592.635156,3.926548
126.215864,342,984.43749,0.835381
116.011276,457,824.482392,2.859933
149.6784,338,551.432017,1.721513
97.444015,436,746.208629,2.267037
107.74736,380,718.561265,1.434356
161.07766,420,921.103206,2.628566
151.138682,296,761.990415,0.684616
130.190012,462,871.472767,3.055043
125.020161,380,521.20063,2.389002
96.573749,478,537.659997,4.411638
84.207994,252,765.639299,0.201533
114.073902,372,979.594154,1.002193
103.073734,278,849.299825,0.352858
123.484449,472,611.946416,4.588911
85.513588,346,867.347009,0.682092
111.632508,343,942.405103,0.73288
114.942442,462,575.694846,4.342206
141.265137,253,937.568247,0.295261
103.811444,394,971.586765,1.148814
157.981399,314,800.896396,0.913906
143.729007,480,680.947816,4.972512
125.01664,448,591.378115,3.897227
94.157923,349,646.158446,0.976268
116.013445,400,514.732411,2.739731
85.503417,263,780.108052,0.251004
113.945391,478,590.001739,4.582407
102.586601,405,729.976623,1.819005
126.616744,252,642.726354,0.384311
152.367073,452,927.708242,3.137571
94.41505,408,958.432799,1.209101
147.7283,321,527.5428,1.37073
119.697513,436,813.07035,2.481641
153.190959,466,944.56844,3.685866
87.18353,365,891.29581,0.800444
107.773391,284,869.394225,0.356866
153.181037,362,587.092317,2.084884
162.63795,332,584.084117,1.582609
102.124563,331,650.697093,0.89916
165.386257,365,626.391578,2.096151
106.291198,332,664.73185,0.885564
140.004951,310,992.713152,0.595555
159.100781,440,685.340826,3.900603
120.082648,430,557.853672,3.517531
151.082773,415,885.424014,2.304648
85.755947,337,608.466356,0.855731
109.965847,369,963.856053,0.995793
130.882622,342,998.895802,0.81559
165.73511,258,765.759519,0.457548
150.500608,320,785.195326,0.905491
143.42335,460,659.32893,4.538286
115.212153,426,539.753527,3.181124
89.747107,396,932.257612,1.097674
86.766864,438,966.175527,1.534972
120.981014,297,672.138315,0.677198
150.65447,441,911.687341,2.998239
84.532558,374,893.059375,0.852623
105.186687,348,678.323945,1.037447
116.998288,418,536.699605,3.01394
95.273931,413,966.100577,1.27256
160.468636,381,628.559526,2.399414
141.824392,255,691.126583,0.385015
107.855271,284,619.26406,0.514581
144.489605,250,943.764525,0.286749
113.938444,452,562.767831,4.026677
115.512115,397,510.117197,2.538136
131.177148,297,952.568949,0.510214
127.54961,386,535.025714,2.411986
99.223537,394,958.004015,1.166873
99.044392,428,742.55219,2.04745
98.999217,464,780.254693,2.70055
115.661225,251,858.320986,0.250022
96.151212,371,924.997753,0.870164
142.545547,368,811.176669,1.52363
164.186913,302,806.854915,0.810122
101.309781,244,808.183244,0.20489
151.294892,280,995.606989,0.45188
88.267326,258,533.524443,0.343035
109.741817,414,760.734432,2.053312
113.590831,303,906.266055,0.471041
142.204237,374,816.251999,1.532705
149.729436,376,591.105937,2.469608
103.518158,388,964.217105,1.084567
142.782803,412,857.531028,2.278774
92.277056,472,768.379312,2.861096
145.869564,462,918.679272,3.462814
141.314527,404,595.285188,3.071145
116.263983,478,846.894823,3.180975
115.543278,409,772.430125,2.03717
103.195727,403,979.608469,1.304906
106.574167,390,976.33485,1.187932
131.327684,254,908.768371,0.271234
128.972995,394,547.384512,2.593209
90.183965,397,684.596516,1.556075
88.250954,464,997.832052,1.816294
131.133472,317,973.605268,0.617329
115.483014,266,873.449092,0.294465
97.944509,430,741.576301,2.063949
89.477537,458,995.085841,1.753791
118.903991,258,875.306817,0.268384
121.245466,280,655.897407,0.548632
149.082904,462,928.830339,3.340402
114.992418,428,540.891787,3.394112
150.024052,310,523.207329,1.222005
134.834724,336,504.940633,1.632391
111.095459,449,801.007943,2.743923
102.394274,295,614.755773,0.57071
113.868227,268,621.080944,0.453203
89.246617,376,659.320612,1.282643
103.004567,293,863.955071,0.407881
166.026244,401,916.080351,2.269057
162.931899,356,859.534932,1.463603
162.111537,414,917.589513,2.387016
86.74079,355,630.43355,0.98072
119.736361,279,649.848578,0.538292
94.072534,245,537.453589,0.281594
121.639568,348,726.909478,1.193408
131.739134,352,761.733032,1.241147
135.545883,258,675.385213,0.433725
134.735547,470,644.088558,4.961683
140.864255,473,914.832008,3.498125
98.246498,298,605.674126,0.606482
95.339665,458,762.595589,2.515824
162.694476,471,978.395546,3.978584
159.136892,277,766.21734,0.581184
134.3382,450,871.486321,2.844681
153.354896,337,810.936475,1.103752
89.30058,454,740.401238,2.329494
137.627926,384,813.344617,1.734753
116.386774,465,833.249647,3.046421
152.493433,458,934.734152,3.287975
136.683716,330,754.030688,1.007098
165.456456,280,538.438603,0.881074
157.504493,396,885.427615,2.101458
159.012032,262,750.368649,0.450621
159.787999,392,887.421661,2.045587
118.070351,428,550.21415,3.267789
120.160773,317,941.009776,0.609347
91.281413,316,852.590395,0.516316
147.848264,263,967.371369,0.35209
126.808623,407,803.923499,2.0258
110.779634,376,974.204245,1.018753
110.350699,342,687.574211,1.005687
95.872044,356,908.475054,0.786958
103.836149,242,563.528118,0.299366
110.308935,274,616.799918,0.481821
135.882813,320,991.178859,0.688975
125.565538,279,916.950962,0.373133
137.114271,358,534.747938,2.02861
160.845086,459,960.378463,3.604057
92.827238,449,746.69579,2.303488
150.410547,394,611.71606,2.759367
129.065293,412,566.191088,3.005639
121.408656,467,850.997282,3.022806
144.706402,265,960.474809,0.356872
106.332301,462,550.22328,3.966603
137.076572,245,666.234749,0.361578
118.964608,437,562.496241,3.685876
157.553827,273,756.989988,0.54849
83.829857,367,633.454312,1.131654
124.407229,352,990.071469,0.918296
96.427027,322,874.354536,0.576306
142.906967,364,807.736327,1.395982
139.52651,391,826.070965,1.773983
117.177801,315,929.220919,0.556133
112.675862,311,662.049663,0.728407
164.14211,316,821.09633,0.90896
87.940378,258,532.161898,0.342526
94.395425,333,880.064902,0.640711
126.615028,367,762.426917,1.33403
142.66885,297,987.239439,0.540842
84.812128,270,785.899702,0.261229
123.791055,276,909.142637,0.373011
154.364286,475,708.013845,4.972513
91.260258,304,840.165059,0.426568
113.417955,336,940.627764,0.687588
154.562467,436,918.099916,2.785335
166.134287,341,854.120535,1.265953
142.19166,469,914.867428,3.415816
132.16129,243,649.417422,0.344577
165.122054,370,880.307463,1.613694
111.122691,298,893.985513,0.435822
118.852976,335,705.6533,0.978445
143.449506,406,852.966154,2.170369
106.892869,255,586.553857,0.34858
85.41622,304,823.018093,0.426028
90.951756,398,687.8396,1.501787
127.381133,293,687.44132,0.632003
96.131424,371,924.952806,0.870012
136.013064,280,700.145368,0.528409
106.04476,387,721.186911,1.588616
165.77241,471,987.717909,3.834216
129.273612,284,684.019788,0.598016
90.784889,429,719.136083,1.941482
106.774368,391,977.2999,1.142114
113.714929,325,929.568964,0.641772
134.539333,252,666.467917,0.396509
137.490855,431,861.503246,2.480683
145.360911,281,979.254135,0.423991
157.826954,411,901.478455,2.287923
112.833492,439,795.703588,2.442522
131.275769,303,959.016961,0.522957
114.503446,426,536.88606,3.176116
93.832577,471,772.321021,2.873717
101.50957,402,973.139024,1.213898
91.348443,419,960.796088,1.295795
109.952825,358,702.573422,1.238749
141.367674,417,858.177243,2.248307
113.481732,404,510.832223,2.804797
114.621781,409,519.847045,2.92879
118.436501,266,632.123365,0.451156
137.608952,383,812.114214,1.634112
143.439615,449,647.628814,4.189555
108.72587,270,607.572566,0.453748
85.37447,477,753.146849,2.66497
96.617872,294,596.085956,0.573043
144.240718,467,668.701236,4.787231
166.124127,438,954.770173,2.963468
115.966974,376,739.517107,1.520982
115.094914,250,606.202826,0.33788
105.057439,393,974.210063,1.148953
120.09431,262,633.655009,0.430004
158.475621,367,607.209092,2.21454
125.049028,293,679.919534,0.657457
103.903601,460,541.240006,3.863131
143.563107,306,999.52153,0.577476
122.205183,466,601.879914,4.379086
116.339499,327,690.006555,0.886454
130.923252,324,730.713945,0.873768
144.211996,459,910.596096,3.359121
145.545288,324,774.159846,0.92948
100.404945,245,556.59667,0.29194
104.10671,300,874.866401,0.44821
151.031372,298,513.388973,1.12413
102.661132,284,853.713834,0.362685
117.179618,307,921.290502,0.505664
163.285911,353,857.099453,1.421948
108.353732,344,933.332279,0.76231
125.27327,244,879.82713,0.237779
98.87776,316,625.757769,0.712105
142.130061,426,620.44467,3.674366
116.250749,462,829.662357,2.828178
97.232734,370,676.609098,1.28502
148.176309,442,905.105761,2.84588
100.909895,255,568.022003,0.337904
135.102475,244,909.072697,0.250347
105.666128,262,840.089095,0.288677
103.881076,254,576.447222,0.338339
88.743752,432,965.989233,1.562092
93.489829,337,881.213944,0.63265
136.140877,338,760.867728,1.040133
135.081873,294,711.697744,0.660898
104.857214,295,621.986138,0.57895
113.59933,271,873.051308,0.311823
136.102849,258,927.268392,0.294682
159.405848,416,662.048579,3.393
139.466814,416,851.807869,2.323262
156.121085,373,856.966526,1.606054
156.595643,251,731.081014,0.402104
124.61313,336,973.617494,0.775388
135.809927,433,858.916174,2.629634
160.279992,270,512.566868,0.770805
93.777756,332,627.463298,0.818228
135.936402,425,600.236127,3.578863
135.743159,325,745.687198,0.950123
101.36489,261,575.526695,0.387054
116.835576,323,937.247813,0.639698
159.074909,391,634.239841,2.750241
89.398072,466,753.858732,2.545987
134.861519,410,831.856347,2.053899
99.998627,421,738.986503,2.043828
119.220319,363,735.368957,1.368035
124.184191,434,574.943044,3.677586
100.422548,300,613.759338,0.62964
139.63152,304,985.758156,0.552658
155.473356,411,644.547706,3.065463
106.194909,373,957.045912,0.958289
93.632645,404,702.103331,1.613079
107.472466,278,611.89753,0.500366
135.467792,457,632.167309,4.322681
121.230312,284,659.432435,0.549859
101.65744,452,525.432692,3.618473
110.929081,376,724.017321,1.408338
120.766756,468,849.500001,3.194879
91.404452,360,649.728368,1.120593
93.796749,270,562.462102,0.417288
162.214397,430,934.610532,2.871946
157.174047,269,501.815093,0.758448
98.261857,280,586.12058,0.487612
109.92195,347,691.665255,1.109118
144.379471,371,569.482634,2.219231
90.49816,459,500.132927,3.751064
118.424756,333,702.251265,1.004096
83.993473,388,906.209636,1.01691
129.7345,363,766.841595,1.372201
148.516735,396,607.877803,2.793677
105.806327,369,702.199059,1.342869
127.962999,425,576.37297,3.484273
95.766483,357,659.418563,1.12267
166.211672,474,992.495308,3.927195
101.600233,400,971.824884,1.192498
113.257886,351,705.849254,1.119592
97.816337,268,822.58849,0.296946
120.548899,262,634.132886,0.43144
160.157869,395,642.227442,2.852242
100.253891,456,525.498771,3.69285
94.231015,340,636.754701,0.93823
87.767999,475,508.2268,4.102457
140.634477,447,887.293152,3.010633
147.29616,327,782.720686,0.967221
136.544273,284,705.002667,0.58734
129.167503,252,649.704537,0.370031
131.981952,335,745.068996,1.041311
104.461184,274,598.913705,0.444625
86.716152,292,814.185059,0.354112
117.48582,462,833.483482,2.997792
132.684245,375,788.549546,1.483108
139.677667,345,777.963297,1.196562
127.865283,304,950.507759,0.519201
125.279744,295,683.225096,0.673867
105.817159,311,640.916163,0.738063
126.328196,294,935.432721,0.454814
144.146386,351,548.119261,1.932919
146.142788,359,562.193477,1.995699
157.148715,279,762.373714,0.592741
92.8338,442,738.853576,2.18454
84.128897,270,533.117692,0.371972
123.524051,286,668.733407,0.598259
137.354715,417,846.917743,2.205468
157.781451,388,877.880353,1.955691
133.000362,282,942.348647,0.40429
144.898577,428,880.672941,2.503299
164.532828,287,542.684769,0.959421
107.927461,284,619.402222,0.514841
117.200893,296,660.342425,0.624946
91.305759,412,953.583181,1.218983
87.174436,424,702.844202,1.813024
157.046848,354,589.884436,1.950522
127.275554,312,707.272559,0.830314
157.817228,385,624.229597,2.601429
166.232401,410,925.707402,2.459547
157.779731,435,926.383732,2.799948
99.872903,302,614.52194,0.642103
117.632363,432,803.399894,2.373613
140.044344,304,986.662588,0.553975
98.545301,359,919.778096,0.787118
125.182875,364,755.063931,1.286627
97.296906,299,603.337559,0.610598
163.943988,336,592.024578,1.653744
95.582013,381,933.358113,0.953993
99.165824,261,819.328257,0.258946
132.795327,265,924.235761,0.320314
83.431049,361,625.865211,1.066139
137.153406,302,976.193466,0.559731
143.727846,404,851.579145,2.135579
141.938704,346,536.392163,1.832047
135.778167,240,657.729993,0.31762
118.340216,389,760.395013,1.652291
130.066851,462,871.759172,3.051008
150.657402,433,903.373866,2.673656
99.458328,426,992.381078,1.471842
137.37363,294,968.021293,0.507457
117.079951,298,661.309057,0.640424
149.519692,298,509.412799,1.120161
97.629131,286,840.372039,0.376857
158.312363,335,824.329726,1.099399
131.301341,445,607.019769,4.100194
107.387824,291,625.666774,0.559189
153.926957,458,938.57128,3.477277
162.077059,359,860.601878,1.43043
113.644717,278,630.63928,0.491143
142.304063,261,698.66511,0.44184
95.735446,272,570.690738,0.433196
136.714722,399,826.278162,1.978702
125.71401,365,757.517694,1.302884
114.704095,356,714.532432,1.187391
109.788626,472,820.91078,3.080528
109.847356,399,744.719366,1.721755
89.431778,295,575.530889,0.526031
141.936747,400,842.595617,2.044326
134.317591,318,983.789645,0.635608
153.498657,451,929.780133,3.128827
126.24673,430,576.70883,3.422604
125.106035,277,913.55963,0.362332
141.94896,367,558.552096,2.124702
83.538369,257,518.112886,0.311374
144.800861,308,754.80773,0.812744
110.712756,465,566.491302,4.347156
130.866281,360,767.823077,1.338301
141.928856,430,623.950262,3.607539
